#SampleID	shannon_entropy	observed_features	faith_pd
Sub001.1P.G11	5.681728947	111	7.017364833
Sub002.1P.G11	4.889220224	102	6.077965323
Sub004.1P.G11	5.731195696	131	7.316682973
Sub005.1P.G11	5.051269631	105	6.98485939
Sub007.1P.G11	4.894539356	78	4.835696827
Sub009.1P.G11	5.040835913	94	6.527929498
Sub010.1P.G11	5.130409683	117	6.896403678
Sub012.1P.G11	4.902454863	85	5.164438933
Sub013.1P.G11	5.688529784	118	6.767645338
Sub014.1P.G11	6.032182682	149	9.36041592
Sub015.1P.G11	5.433114417	104	5.973044072
Sub016.1P.G11	3.905089628	48	3.940945032
Sub019.1P.G11	3.424534429	45	3.897143156
Sub020.1P.G11	5.508334844	118	6.997861836
Sub022.1P.G11	4.791981701	103	6.652609509
Sub023.1P.G11	5.44015137	92	6.930356553
Sub024.1P.G11	5.285328206	77	5.247820883
Sub025.1P.G11	5.447230632	88	6.44358387
Sub026.1P.G11	5.256733282	98	7.235942777
Sub001.5P.D01	4.447050366	59	5.099341987
Sub002.5P.D02	4.187468931	42	3.933245789
Sub004.5P.D03	4.527432646	55	4.910113207
Sub005.5P.D04	4.008625959	47	4.087211449
Sub007.5P.D05	3.839134885	41	3.603184028
Sub009.5P.D06	4.362645489	48	4.236896033
Sub010.5P.D07	4.657488058	54	4.463528922
Sub012.5P.D08	3.902036209	47	3.90765734
Sub013.5P.D09	4.532356239	49	3.710344713
Sub014.5P.D10	3.575664676	51	4.396725975
Sub015.5P.D11	3.997962497	37	3.860184763
Sub016.5P.D12	3.107907716	28	3.197114101
Sub019.5P.H02	3.163208227	40	4.113814874
Sub020.5P.H03	4.447240159	63	4.861203669
Sub022.5P.H04	4.184473303	55	4.987743786
Sub023.5P.H05	4.895706512	73	5.666805194
Sub024.5P.H06	5.211824656	76	5.095951369
Sub025.5P.H07	4.056795103	42	3.658530775
Sub026.5P.H08	4.408552084	59	5.683982034
Sub001.1P.F06	4.264298281	76	5.202903806
Sub002.1P.F06	4.435767007	67	4.703478247
Sub004.1P.F06	4.967254193	95	5.812671754
Sub005.1P.F06	2.081928348	52	4.322802741
Sub007.1P.F06	4.52759972	73	4.34236875
Sub009.1P.F06	4.735512691	80	5.352117877
Sub010.1P.F06	4.545204246	87	5.504223519
Sub013.1P.F06	4.336467176	76	4.830060886
Sub014.1P.F06	2.29510177	62	5.081607947
Sub015.1P.F06	4.786372171	74	4.693146503
Sub016.1P.F06	4.04085558	42	4.098451822
Sub019.1P.F06	3.888922732	36	3.456836358
Sub020.1P.F06	4.456495473	83	5.263191694
Sub022.1P.F06	4.372353978	62	4.797110024
Sub023.1P.F06	5.132365421	69	5.211775963
Sub024.1P.F06	4.944501201	91	5.364318768
Sub025.1P.F06	3.497022528	46	4.160319957
Sub026.1P.F06	3.556060677	82	5.847955144
Sub028.1P-2.F10	3.469254666	63	5.200052138
Sub001.5P.C01	3.93711227	43	3.66360457
Sub002.5P.C02	3.836840122	41	3.866877604
Sub004.5P.C03	4.023544511	46	3.93087549
Sub005.5P.F11_RE	4.502886577	55	4.47467278
Sub007.5P.C05	3.241095548	34	3.657187877
Sub009.5P.C06	3.869856798	39	4.200391541
Sub010.5P.C07	4.503174526	57	4.488863347
Sub012.5P.C08	3.99387029	48	3.930705382
Sub013.5P.C09	4.453529206	52	3.990940257
Sub014.5P.C10	4.087968159	41	4.290025837
Sub015.5P.C11	4.452995209	45	3.710145493
Sub016.5P.C12	3.110846089	28	2.92554509
Sub019.5P.G02	3.030363395	27	3.323173343
Sub020.5P.G03	4.539246436	53	4.356180815
Sub022.5P.G04	4.414472357	51	4.252987837
Sub023.5P.G05	4.438365266	50	4.194507401
Sub024.5P.G06	5.008929942	66	4.412925622
Sub025.5P.G07	3.167235916	27	2.344923681
Sub026.5P.G08	3.083036652	36	3.573533185
